Site Id,Date,Time,WTEQ.I-1 (in),PREC.I-1 (in),TOBS.I-1 (degC),TMAX.D-1 (degC),TMIN.D-1 (degC),TAVG.D-1 (degC),SNWD.I-1 (in),snow_depth_mm,delta_snowdepth,cumm_snowdepth
683,2024-07-28,NA,0,32.2,7.1,24.6,6.6,12.1,0,0,0,5156.2
683,2024-07-29,NA,0,32.3,7.2,20.4,5.6,11.3,0,0,0,5156.2
683,2024-07-30,NA,0,32.3,12.5,23,6.6,14.5,0,0,0,5156.2
683,2024-07-31,NA,0,32.3,4.8,21.9,4.8,12.3,0,0,0,5156.2
683,2024-08-01,NA,0,32.4,10.2,23.7,4.2,12.1,0,0,0,5156.2
683,2024-08-02,NA,0,32.4,13.7,28.7,9.1,17.9,0,0,0,5156.2
683,2024-08-03,NA,0,32.4,16.2,29.8,13.7,20.9,0,0,0,5156.2
683,2024-08-04,NA,0,32.4,17.1,30.4,15,21.2,0,0,0,5156.2
683,2024-08-05,NA,0,32.4,10.6,26.5,8.7,15.8,0,0,0,5156.2
683,2024-08-06,NA,0,32.4,11,27.3,9,16.5,0,0,0,5156.2
683,2024-08-07,NA,0,32.5,11.9,26.5,10.1,16.1,0,0,0,5156.2
683,2024-08-08,NA,0,32.5,7.2,24.2,7.2,12.8,0,0,0,5156.2
683,2024-08-09,NA,0,32.5,6.2,17.7,6.2,9.3,0,0,0,5156.2
683,2024-08-10,NA,0,32.5,8.9,23.6,4.2,10.9,0,0,0,5156.2
683,2024-08-11,NA,0,32.8,6.3,19.6,6.1,10.2,0,0,0,5156.2
683,2024-08-12,NA,0,32.9,9,20.8,3.9,11.6,0,0,0,5156.2
683,2024-08-13,NA,0,32.9,9.7,24.5,7.2,12.5,0,0,0,5156.2
683,2024-08-14,NA,0,33.1,5.2,19.6,5,9.6,0,0,0,5156.2
683,2024-08-15,NA,0,33.2,5,18.1,4.2,7.4,0,0,0,5156.2
683,2024-08-16,NA,0,33.3,6.8,22.6,4.4,12,0,0,0,5156.2
683,2024-08-17,NA,0,33.4,9.6,22.2,6.6,14,0,0,0,5156.2
683,2024-08-18,NA,0,33.4,10.5,27.2,9.4,17.4,0,0,0,5156.2
683,2024-08-19,NA,0,33.4,9.1,27.4,8.8,16.4,0,0,0,5156.2
683,2024-08-20,NA,0,33.4,11.5,26,8.7,15.5,0,0,0,5156.2
683,2024-08-21,NA,0,33.4,12.2,25.8,10.3,15.8,0,0,0,5156.2
683,2024-08-22,NA,0,33.4,8.6,25.2,8.3,16.2,0,0,0,5156.2
683,2024-08-23,NA,0,33.4,11.4,25.3,8.1,15.8,0,0,0,5156.2
683,2024-08-24,NA,0,33.4,10.1,24.8,7.5,12.6,0,0,0,5156.2
683,2024-08-25,NA,0,33.4,7.2,24,7.1,14.1,0,0,0,5156.2
683,2024-08-26,NA,0,33.5,4.8,19.3,4.8,9.5,0,0,0,5156.2
683,2024-08-27,NA,-99.9,33.8,4.6,17.8,3.5,7.9,0,0,0,5156.2
683,2024-08-28,NA,0,33.8,10.5,22.4,3.9,12.7,0,0,0,5156.2
683,2024-08-29,NA,-99.9,33.7,2.7,17.7,2.5,10.3,0,0,0,5156.2
683,2024-08-30,NA,0,33.8,7.1,20.2,1.1,10.3,0,0,0,5156.2
683,2024-08-31,NA,0,33.8,10.4,24.6,6.3,14.6,0,0,0,5156.2
683,2024-09-01,NA,0,33.8,12,27.3,9.4,16.6,0,0,0,5156.2
683,2024-09-02,NA,0,33.9,12.3,27.7,-99.9,17.5,0,0,0,5156.2
683,2024-09-03,NA,0,33.9,12.6,26.2,-99.9,16.8,0,0,0,5156.2
683,2024-09-04,NA,0,34,8.5,21.7,6.9,10.7,0,0,0,5156.2
683,2024-09-05,NA,0,34,7.9,21.4,6.6,11.8,0,0,0,5156.2
