station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,snowdepth,tmp_c,P_mm,meltrate,HP_fresh_snow,snowfall,cummulative_snowfall,delta_snow_depth,albedo,wind_speed_ms,U10,dwp_c,k,e_sat,Ea,sat_def,tmp_k,air_density,Pra,sublimation_rate,cumulative_sublimation
P60,2023-09-01T00:56:00Z,46,34,62.71,null,3,0,30.18,1015.2,null,null,null,null,null,null,null,null,44.69,0,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,0,NA,0.15,1.5432098765432098,2.0119814336856185,1.1111111111111112,0.63,10.561252983261864,6.622961745803515,3.9382912374583494,280.92777777777775,1.2591429220513939,101537.68641114983,-3.6929775565405933e-4,-3.6929775565405933e-4
P60,2023-09-01T01:56:00Z,46,37,70.64,0.00,0,0,30.17,1014.3,null,null,null,null,null,null,null,null,46.00,0,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,0,0,0.15,0,0,2.7777777777777777,0.63,10.561252983261864,7.460469107376181,3.100783875885684,280.92777777777775,1.2580266605956745,101447.67073170732,-0,-3.6929775565405933e-4
P60,2023-09-01T02:56:00Z,42,36,79.11,310.00,3,0,30.14,1013.8,null,null,null,null,null,null,null,null,40.12,0,5.555555555555555,0,2.7777777777777777,505.70055245053936,0,0,0,0.15,1.5432098765432098,2.0119814336856185,2.2222222222222223,0.63,9.064899442203664,7.171241948727319,1.8936574934763453,278.7055555555555,1.2674322814065828,101397.6620209059,-1.2784722100369657e-4,-4.971449766577559e-4
P60,2023-09-01T03:56:00Z,40,35,82.15,0.00,0,0,30.13,1013.4,null,null,null,null,null,null,null,null,40.00,0,4.444444444444445,0,2.2222222222222223,352.9850312374796,0,0,0,0.15,0,0,1.6666666666666667,0.63,8.38959017377775,6.892048327758422,1.4975418460193275,277.59444444444443,1.272003285234457,101357.65505226482,-0,-4.971449766577559e-4
P60,2023-09-01T04:56:00Z,39,35,85.42,310.00,3,0,30.13,1013.3,null,null,null,null,null,null,null,null,36.69,0,3.8888888888888897,0,1.9444444444444449,297.9516986214223,0,0,0,0.15,1.5432098765432098,2.0119814336856185,1.6666666666666667,0.63,8.068937788158186,6.892486658644723,1.1764511295134632,277.0388888888889,1.2744283068222797,101347.65331010454,-5.593281557125168e-5,-5.530777922290076e-4
P60,2023-09-01T05:56:00Z,38,36,92.42,290.00,3,0,30.13,1013.5,null,null,null,null,null,null,null,null,35.55,0,3.3333333333333335,0,1.6666666666666667,253.54284592028836,0,0,0,0.15,1.5432098765432098,2.0119814336856185,2.2222222222222223,0.63,7.759179578561473,7.171033766506514,0.5881458120549592,276.4833333333333,1.2772411423295276,101367.6567944251,-2.4016116953605727e-5,-5.770939091826133e-4
P60,2023-09-01T06:56:00Z,38,36,92.42,310.00,3,0,30.13,1013.9,null,null,null,null,null,null,null,null,35.55,0,3.3333333333333335,0,1.6666666666666667,253.54284592028836,0,0,0,0.15,1.5432098765432098,2.0119814336856185,2.2222222222222223,0.63,7.759179578561473,7.171033766506514,0.5881458120549592,276.4833333333333,1.2777452335549166,101407.6637630662,-2.4016116953605727e-5,-6.01110026136219e-4
P60,2023-09-01T07:56:00Z,43,38,82.37,0.00,0,0,30.15,1015.9,null,null,null,null,null,null,null,null,43.00,0,6.111111111111112,0,3.055555555555556,610.4362167100221,0,0,0,0.15,0,0,3.3333333333333335,0.63,9.420237761030545,7.75944984376086,1.660787917269685,279.26111111111106,1.267531035836577,101607.69860627178,-0,-6.01110026136219e-4
P60,2023-09-01T08:56:00Z,52,45,76.94,0.00,0,0,30.17,1015.7,null,null,null,null,null,null,null,null,52.00,0,11.11111111111111,0,5.555555555555555,3807.467553246818,0,0,0,0.15,0,0,7.222222222222222,0.63,13.215160299389087,10.167744334349964,3.0474159650391233,284.26111111111106,1.2449906976056884,101587.69512195123,-0,-6.01110026136219e-4
P60,2023-09-01T09:56:00Z,64,41,42.88,0.00,0,0,30.17,1014.6,null,null,null,null,null,null,null,null,64.00,0,17.77777777777778,0,8.88888888888889,49124.150581099966,0,0,0,0.15,0,0,5,0.63,20.339208134320536,8.721452447996647,11.617755686323889,290.92777777777775,1.2151440693060884,101477.67595818818,-0,-6.01110026136219e-4
P60,2023-09-01T10:56:00Z,67,41,38.63,0.00,0,0,30.18,1015,null,null,null,null,null,null,null,null,67.00,0,19.444444444444446,0,9.722222222222223,93428.37359678524,0,0,0,0.15,0,0,5,0.63,22.576974926547155,8.721485414125167,13.855489512421988,292.59444444444443,1.2086987408693461,101517.68292682926,-0,-6.01110026136219e-4
P60,2023-09-01T11:56:00Z,68,46,45.19,0.00,0,0,30.19,1015.2,null,null,null,null,null,null,null,null,68.00,0,20,0,10,115764.15134728422,0,0,0,0.15,0,0,7.777777777777779,0.63,23.36947123406443,10.560664050673715,12.808807183390716,293.15,1.2066458229456447,101537.68641114984,-0,-6.01110026136219e-4
P60,2023-09-01T12:56:00Z,70,41,34.85,240.00,3,0,30.19,1014.1,null,null,null,null,null,null,null,null,70.00,0,21.11111111111111,0,10.555555555555555,177745.1323041102,0,0,0,0.15,1.5432098765432098,2.0119814336856185,5,0.63,25.028015345258204,8.722263347822485,16.30575199743572,294.26111111111106,1.200787105033974,101427.66724738675,-0.003962114719703352,-0.004563224745839571
P60,2023-09-01T13:56:00Z,65,43,44.73,280.00,7,0,30.21,1015.4,null,null,null,null,null,null,null,null,65.00,0,18.333333333333336,0,9.166666666666668,60860.48027235176,0,0,0,0.15,3.60082304526749,4.694623345266444,6.111111111111112,0.63,21.06244254455239,9.421230550178283,11.641211994374107,291.4833333333333,1.213784353848701,101557.68989547038,-0.00578642972645763,-0.010349654472297201
P60,2023-09-01T14:56:00Z,69,43,38.95,null,5,0,30.22,1015.6,null,null,null,null,null,null,null,null,69.00,0,20.555555555555557,0,10.27777777777778,143443.5938776732,0,0,0,0.15,2.57201646090535,3.3533023894760317,6.111111111111112,0.63,24.186274317386133,9.4205538466219,14.765720470764233,293.7055555555555,1.2048379376054394,101577.69337979094,-0.0058334897896994385,-0.01618314426199664
