valid,p01i,tmpf,sknt,relh,tmp,tmp_c,wind_ms,P_mm,CR_snow,CR_mix,P_corr,cummulative_precip_mm,cummulative_corr_precip_mm,snow_Ta,Td,snow_Td,snow_prob,snow_from_fraction,cumm_snow_Ta,cumm_snow_Td,cumm_snow_F
2023-09-01T00:56:00Z,0,46,3,62.71,14,7.777777777700001,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,0,0,0,0.3197777777000006,0,0.15600000000651004,0,0,0,0
2023-09-01T01:56:00Z,0,46,0,70.64,14,7.777777777700001,0,0,1,1.0104,0,0,0,0,1.905777777700001,0,0.15600000000651004,0,0,0,0
2023-09-01T02:56:00Z,0,42,3,79.11,10,5.5555555555,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,0,0,0,1.3775555554999999,0,0.3420000000046501,0,0,0,0
2023-09-01T03:56:00Z,0,40,0,82.15,8,4.4444444444,0,0,1,1.0104,0,0,0,0,0.8744444444000012,0,0.43500000000372,0,0,0,0
2023-09-01T04:56:00Z,0,39,3,85.42,7,3.8888888888500004,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,0,0,0,0.9728888888500009,0,0.48150000000325505,0,0,0,0
2023-09-01T05:56:00Z,0,38,3,92.42,6,3.3333333333,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,0,0,0,1.8173333333000006,0,0.52800000000279,0,0,0,0
2023-09-01T06:56:00Z,0,38,3,92.42,6,3.3333333333,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,0,0,0,1.8173333333000006,0,0.52800000000279,0,0,0,0
2023-09-01T07:56:00Z,0,43,0,82.37,11,6.1111111110500005,0,0,1,1.0104,0,0,0,0,2.5851111110500016,0,0.295500000005115,0,0,0,0
2023-09-01T08:56:00Z,0,52,0,76.94,20,11.111111111,0,0,1,1.0104,0,0,0,0,6.4991111109999995,0,-0.12299999999069988,0,0,0,0
2023-09-01T09:56:00Z,0,64,0,42.88,32,17.7777777776,0,0,1,1.0104,0,0,0,0,6.353777777600001,0,-0.6809999999851201,0,0,0,0
2023-09-01T10:56:00Z,0,67,0,38.63,35,19.44444444425,0,0,1,1.0104,0,0,0,0,7.17044444425,0,-0.8204999999837249,0,0,0,0
2023-09-01T11:56:00Z,0,68,0,45.19,36,19.9999999998,0,0,1,1.0104,0,0,0,0,9.0379999998,0,-0.8669999999832599,0,0,0,0
2023-09-01T12:56:00Z,0,70,3,34.85,38,21.1111111109,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,0,0,0,8.0811111109,0,-0.95999999998233,0,0,0,0
2023-09-01T13:56:00Z,0,65,7,44.73,33,18.33333333315,3.60082304526749,0,0.6862602333154918,0.808033744855967,0,0,0,0,7.279333333150001,0,-0.7274999999846551,0,0,0,0
2023-09-01T14:56:00Z,0,69,5,38.95,37,20.55555555535,2.57201646090535,0,0.8114371074684765,0.8658526748971193,0,0,0,0,8.345555555350002,0,-0.913499999982795,0,0,0,0
2023-09-01T15:56:00Z,0,68,6,41.88,36,19.9999999998,3.0864197530864197,0,0.7501522711519343,0.8369432098765431,0,0,0,0,8.375999999800001,0,-0.8669999999832599,0,0,0,0
2023-09-01T16:56:00Z,0,67,4,38.63,35,19.44444444425,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,0,0,0,7.17044444425,0,-0.8204999999837249,0,0,0,0
2023-09-01T17:56:00Z,0,66,5,41.57,34,18.888888888700002,2.57201646090535,0,0.8114371074684765,0.8658526748971193,0,0,0,0,7.202888888700002,0,-0.7739999999841901,0,0,0,0
2023-09-01T18:56:00Z,0,63,4,55.85,31,17.22222222205,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,0,0,0,8.39222222205,0,-0.6344999999855848,0,0,0,0
2023-09-01T19:56:00Z,0.16,52,0,96.37,20,11.111111111,0,4.064,1,1.0104,4.064,4.064,4.064,0,10.385111111,0,-0.12299999999069988,0,0,0,0
2023-09-01T20:56:00Z,0,52,3,92.86,20,11.111111111,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,4.064,4.064,0,9.683111110999999,0,-0.12299999999069988,0,0,0,0
2023-09-01T21:56:00Z,0,51,0,96.36,19,10.55555555545,0,0,1,1.0104,0,4.064,4.064,0,9.827555555450001,0,-0.07649999999116497,0,0,0,0
2023-09-01T22:56:00Z,0,48,3,96.31,16,8.8888888888,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,4.064,4.064,0,8.1508888888,0,0.06300000000744,0,0,0,0
2023-09-01T23:56:00Z,0,47,0,96.29,15,8.33333333325,0,0,1,1.0104,0,4.064,4.064,0,7.591333333250001,0,0.10950000000697513,0,0,0,0
2023-09-02T00:56:00Z,0,45,0,96.26,13,7.22222222215,0,0,1,1.0104,0,4.064,4.064,0,6.474222222150001,0,0.20250000000604507,0,0,0,0
2023-09-02T01:56:00Z,0,43,0,96.23,11,6.1111111110500005,0,0,1,1.0104,0,4.064,4.064,0,5.357111111050001,0,0.295500000005115,0,0,0,0
2023-09-02T02:56:00Z,0,42,0,100,10,5.5555555555,0,0,1,1.0104,0,4.064,4.064,0,5.5555555555,0,0.3420000000046501,0,0,0,0
2023-09-02T03:56:00Z,0,42,0,100,10,5.5555555555,0,0,1,1.0104,0,4.064,4.064,0,5.5555555555,0,0.3420000000046501,0,0,0,0
2023-09-02T04:56:00Z,0,42,0,100,10,5.5555555555,0,0,1,1.0104,0,4.064,4.064,0,5.5555555555,0,0.3420000000046501,0,0,0,0
2023-09-02T05:56:00Z,0,43,0,96.23,11,6.1111111110500005,0,0,1,1.0104,0,4.064,4.064,0,5.357111111050001,0,0.295500000005115,0,0,0,0
2023-09-02T06:56:00Z,0,44,0,100,12,6.6666666666,0,0,1,1.0104,0,4.064,4.064,0,6.6666666666,0,0.2490000000055801,0,0,0,0
2023-09-02T07:56:00Z,0,45,0,96.26,13,7.22222222215,0,0,1,1.0104,0,4.064,4.064,0,6.474222222150001,0,0.20250000000604507,0,0,0,0
