station,valid,lon,lat,elevation,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
WYS,2023-09-03 13:55,-111.1176,44.6884,2026.60,FEW,BKN,OVC,4200.00,7000.00,8000.00,-RA
WYS,2023-09-03 14:55,-111.1176,44.6884,2026.60,BKN,BKN,M,4700.00,5500.00,M,M
WYS,2023-09-03 15:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-03 16:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-03 17:55,-111.1176,44.6884,2026.60,SCT,BKN,M,3400.00,4300.00,M,BR
WYS,2023-09-03 18:55,-111.1176,44.6884,2026.60,FEW,SCT,SCT,2200.00,7500.00,10000.00,M
WYS,2023-09-03 19:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-03 20:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-03 21:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-03 22:55,-111.1176,44.6884,2026.60,BKN,M,M,6500.00,M,M,-DZ
WYS,2023-09-03 23:55,-111.1176,44.6884,2026.60,FEW,FEW,M,9500.00,11000.00,M,M
WYS,2023-09-04 00:55,-111.1176,44.6884,2026.60,FEW,SCT,BKN,1200.00,3600.00,7000.00,M
WYS,2023-09-04 01:55,-111.1176,44.6884,2026.60,SCT,BKN,OVC,2000.00,4800.00,10000.00,M
WYS,2023-09-04 02:55,-111.1176,44.6884,2026.60,SCT,BKN,OVC,4500.00,6000.00,7500.00,M
WYS,2023-09-04 03:55,-111.1176,44.6884,2026.60,FEW,SCT,BKN,1300.00,5000.00,6500.00,M
WYS,2023-09-04 04:55,-111.1176,44.6884,2026.60,FEW,BKN,OVC,2800.00,7500.00,10000.00,M
WYS,2023-09-04 05:55,-111.1176,44.6884,2026.60,FEW,M,M,12000.00,M,M,M
WYS,2023-09-04 06:55,-111.1176,44.6884,2026.60,SCT,BKN,M,9500.00,12000.00,M,M
WYS,2023-09-04 07:55,-111.1176,44.6884,2026.60,SCT,OVC,M,3600.00,6000.00,M,M
WYS,2023-09-04 08:55,-111.1176,44.6884,2026.60,SCT,SCT,OVC,2300.00,2900.00,3700.00,M
WYS,2023-09-04 09:55,-111.1176,44.6884,2026.60,FEW,SCT,OVC,1500.00,2300.00,3500.00,M
WYS,2023-09-04 10:55,-111.1176,44.6884,2026.60,FEW,BKN,OVC,1100.00,2800.00,6000.00,M
WYS,2023-09-04 11:55,-111.1176,44.6884,2026.60,FEW,OVC,M,2400.00,3300.00,M,M
WYS,2023-09-04 12:55,-111.1176,44.6884,2026.60,FEW,BKN,OVC,1100.00,4300.00,5500.00,M
WYS,2023-09-04 13:55,-111.1176,44.6884,2026.60,FEW,BKN,BKN,4000.00,4800.00,6000.00,M
WYS,2023-09-04 14:55,-111.1176,44.6884,2026.60,SCT,BKN,OVC,1300.00,1700.00,2800.00,M
WYS,2023-09-04 15:55,-111.1176,44.6884,2026.60,SCT,BKN,BKN,3100.00,3700.00,4300.00,BR
WYS,2023-09-04 16:55,-111.1176,44.6884,2026.60,BKN,OVC,M,2300.00,2900.00,M,M
WYS,2023-09-04 17:55,-111.1176,44.6884,2026.60,FEW,FEW,BKN,1400.00,2800.00,4300.00,M
WYS,2023-09-04 18:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-04 19:35,-111.1176,44.6884,2026.60,FEW,SCT,SCT,4000.00,4600.00,5000.00,-RA
WYS,2023-09-04 20:55,-111.1176,44.6884,2026.60,BKN,BKN,M,4400.00,6000.00,M,M
WYS,2023-09-04 21:35,-111.1176,44.6884,2026.60,FEW,FEW,SCT,4400.00,5000.00,5500.00,M
WYS,2023-09-04 22:40,-111.1176,44.6884,2026.60,FEW,SCT,SCT,1700.00,2400.00,3100.00,-RA
WYS,2023-09-04 23:55,-111.1176,44.6884,2026.60,OVC,M,M,5000.00,M,M,M
WYS,2023-09-05 00:55,-111.1176,44.6884,2026.60,FEW,M,M,6500.00,M,M,M
WYS,2023-09-05 01:35,-111.1176,44.6884,2026.60,FEW,FEW,SCT,3700.00,4900.00,11000.00,M
WYS,2023-09-05 02:55,-111.1176,44.6884,2026.60,OVC,M,M,4700.00,M,M,M
WYS,2023-09-05 03:55,-111.1176,44.6884,2026.60,BKN,OVC,M,5000.00,6000.00,M,M
WYS,2023-09-05 04:55,-111.1176,44.6884,2026.60,FEW,SCT,OVC,4000.00,4800.00,6000.00,M
WYS,2023-09-05 05:55,-111.1176,44.6884,2026.60,OVC,M,M,6000.00,M,M,M
WYS,2023-09-05 06:55,-111.1176,44.6884,2026.60,OVC,M,M,6500.00,M,M,M
WYS,2023-09-05 07:55,-111.1176,44.6884,2026.60,BKN,BKN,M,7000.00,8000.00,M,M
WYS,2023-09-05 08:55,-111.1176,44.6884,2026.60,FEW,BKN,OVC,1600.00,2700.00,7500.00,M
WYS,2023-09-05 09:55,-111.1176,44.6884,2026.60,FEW,OVC,M,2000.00,7500.00,M,M
WYS,2023-09-05 10:55,-111.1176,44.6884,2026.60,OVC,M,M,7500.00,M,M,M
WYS,2023-09-05 11:55,-111.1176,44.6884,2026.60,SCT,OVC,M,2000.00,7000.00,M,M
WYS,2023-09-05 12:55,-111.1176,44.6884,2026.60,OVC,M,M,7000.00,M,M,M
WYS,2023-09-05 13:55,-111.1176,44.6884,2026.60,OVC,M,M,1700.00,M,M,M
WYS,2023-09-05 14:55,-111.1176,44.6884,2026.60,OVC,M,M,7500.00,M,M,M
WYS,2023-09-05 15:55,-111.1176,44.6884,2026.60,FEW,OVC,M,1100.00,7500.00,M,M
WYS,2023-09-05 16:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-05 17:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-05 18:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-05 19:35,-111.1176,44.6884,2026.60,FEW,FEW,BKN,3200.00,4200.00,7500.00,M
WYS,2023-09-05 20:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-05 21:55,-111.1176,44.6884,2026.60,FEW,SCT,OVC,5500.00,6500.00,8000.00,M
WYS,2023-09-05 22:40,-111.1176,44.6884,2026.60,SCT,OVC,M,3700.00,8500.00,M,M
WYS,2023-09-05 23:55,-111.1176,44.6884,2026.60,OVC,M,M,9000.00,M,M,M
WYS,2023-09-06 00:55,-111.1176,44.6884,2026.60,SCT,M,M,9000.00,M,M,M
WYS,2023-09-06 01:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-06 02:55,-111.1176,44.6884,2026.60,SCT,BKN,M,6000.00,7000.00,M,M
WYS,2023-09-06 03:55,-111.1176,44.6884,2026.60,FEW,M,M,8000.00,M,M,M
WYS,2023-09-06 04:40,-111.1176,44.6884,2026.60,SCT,M,M,5500.00,M,M,M
WYS,2023-09-06 05:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-06 06:35,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-06 07:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-06 08:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-06 09:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-06 10:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-06 11:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-06 12:40,-111.1176,44.6884,2026.60,BKN,M,M,200.00,M,M,M
WYS,2023-09-06 13:55,-111.1176,44.6884,2026.60,OVC,M,M,200.00,M,M,FG
WYS,2023-09-06 14:55,-111.1176,44.6884,2026.60,OVC,M,M,200.00,M,M,FG
WYS,2023-09-06 15:40,-111.1176,44.6884,2026.60,OVC,M,M,200.00,M,M,BR
WYS,2023-09-06 16:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-06 17:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-06 18:55,-111.1176,44.6884,2026.60,FEW,M,M,4800.00,M,M,M
WYS,2023-09-06 19:40,-111.1176,44.6884,2026.60,FEW,M,M,4600.00,M,M,M
WYS,2023-09-06 20:40,-111.1176,44.6884,2026.60,FEW,M,M,5000.00,M,M,M
WYS,2023-09-06 21:55,-111.1176,44.6884,2026.60,SCT,M,M,5500.00,M,M,M
WYS,2023-09-06 22:55,-111.1176,44.6884,2026.60,FEW,M,M,6000.00,M,M,M
WYS,2023-09-06 23:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 00:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 01:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 02:35,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 03:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 04:55,-111.1176,44.6884,2026.60,FEW,M,M,7000.00,M,M,M
